Concatenation |        52561 |         1611 |    32.63x
XorSum |          243 |           53 |     4.58x
HashThenHash |          155 |         1617 |     0.10x
Interacting |        16326 |         1599 |    10.21x
WidePipe |          269 |         1553 |     0.17x
RobustInteraction |        20091 |         1783 |    11.27x
Concatenation |       132481 |         3832 |    34.57x
XorSum |          299 |          273 |     1.10x
HashThenHash |          125 |         3528 |     0.04x
Interacting |        70350 |         3548 |    19.83x
WidePipe |          269 |         4006 |     0.07x
RobustInteraction |        85257 |         4093 |    20.83x
Concatenation |       168521 |         7675 |    21.96x
XorSum |          299 |          489 |     0.61x
HashThenHash |          508 |         7601 |     0.07x
Interacting |       413776 |         7403 |    55.89x
WidePipe |          797 |         4769 |     0.17x
RobustInteraction |       323031 |         8400 |    38.46x
Concatenation |       168521 |         9919 |    16.99x
XorSum |         1433 |          634 |     2.26x
HashThenHash |          927 |        12631 |     0.07x
Interacting |       490729 |         8898 |    55.15x
WidePipe |          797 |        14425 |     0.06x
RobustInteraction |       816019 |         9066 |    90.01x
Concatenation |      4271156 |        30848 |   138.46x
XorSum |         1669 |         2070 |     0.81x
HashThenHash |         1707 |        31327 |     0.05x
Interacting |     10191904 |        28803 |   353.85x
WidePipe |          921 |        26374 |     0.03x
RobustInteraction |      6843524 |        30001 |   228.11x
Concatenation |     20380519 |        50672 |   402.20x
XorSum |         1741 |         2055 |     0.85x
HashThenHash |         3399 |        59520 |     0.06x
Interacting |     11866642 |        46579 |   254.76x
WidePipe |         4426 |        49192 |     0.09x
RobustInteraction |     27559813 |        50672 |   543.89x
Concatenation |     47691565 |       108759 |   438.51x
XorSum |         8790 |         7257 |     1.21x
HashThenHash |         9208 |       106894 |     0.09x
Interacting |     72771890 |       100570 |   723.59x
WidePipe |         8555 |       132767 |     0.06x
RobustInteraction |     20972065 |       108759 |   192.83x
Concatenation |        52561 |         1611 |    32.63x
XorSum |          243 |           53 |     4.58x
HashThenHash |          155 |         1617 |     0.10x
Interacting |        16326 |         1599 |    10.21x
WidePipe |          269 |         1553 |     0.17x
RobustInteraction |        20091 |         1783 |    11.27x
Concatenation |       132481 |         3832 |    34.57x
XorSum |          299 |          273 |     1.10x
HashThenHash |          125 |         3528 |     0.04x
Interacting |        70350 |         3548 |    19.83x
WidePipe |          269 |         4006 |     0.07x
RobustInteraction |        85257 |         4093 |    20.83x
Concatenation |       168521 |         7675 |    21.96x
XorSum |          299 |          489 |     0.61x
HashThenHash |          508 |         7601 |     0.07x
Interacting |       413776 |         7403 |    55.89x
WidePipe |          797 |         4769 |     0.17x
RobustInteraction |       323031 |         8400 |    38.46x
Concatenation |       168521 |         9919 |    16.99x
XorSum |         1433 |          634 |     2.26x
HashThenHash |          927 |        12631 |     0.07x
Interacting |       490729 |         8898 |    55.15x
WidePipe |          797 |        14425 |     0.06x
RobustInteraction |       816019 |         9066 |    90.01x
Concatenation |      4271156 |        30848 |   138.46x
XorSum |         1669 |         2070 |     0.81x
HashThenHash |         1707 |        31327 |     0.05x
Interacting |     10191904 |        28803 |   353.85x
WidePipe |          921 |        26374 |     0.03x
RobustInteraction |      6843524 |        30001 |   228.11x
Concatenation |     20380519 |        50672 |   402.20x
XorSum |         1741 |         2055 |     0.85x
HashThenHash |         3399 |        59520 |     0.06x
Interacting |     11866642 |        46579 |   254.76x
WidePipe |         4426 |        49192 |     0.09x
