Concatenation | 12    |         3468 |          645 |     5.38x
XorSum | 12    |          140 |           61 |     2.30x
HashThenHash | 12    |          150 |           19 |     7.89x
Interacting | 12    |         2514 |          589 |     4.27x
WidePipe | 12    |           38 |           19 |     2.00x
Concatenation | 14    |        38910 |         1120 |    34.74x
XorSum | 14    |          287 |           59 |     4.86x
HashThenHash | 14    |          190 |           19 |    10.00x
Interacting | 14    |        24170 |          983 |    24.59x
WidePipe | 14    |          119 |           19 |     6.26x
Concatenation | 16    |        64145 |         2123 |    30.21x
XorSum | 16    |          461 |          179 |     2.58x
HashThenHash | 16    |          191 |           19 |    10.05x
Interacting | 16    |       137288 |         1870 |    73.42x
WidePipe | 16    |          119 |           19 |     6.26x
Concatenation | 18    |       206843 |         5479 |    37.75x
XorSum | 18    |          659 |          304 |     2.17x
HashThenHash | 18    |          850 |           21 |    40.48x
Interacting | 18    |       339421 |         5175 |    65.59x
WidePipe | 18    |          439 |           21 |    20.90x
Concatenation | 20    |       393006 |        18521 |    21.22x
XorSum | 20    |          954 |         1044 |     0.91x
HashThenHash | 20    |         1955 |           23 |    85.00x
Interacting | 20    |       346248 |        17500 |    19.79x
WidePipe | 20    |         1742 |           23 |    75.74x
Concatenation | 22    |      8772532 |        32538 |   269.61x
XorSum | 22    |         3665 |         2070 |     1.77x
HashThenHash | 22    |         1897 |           25 |    75.88x
Interacting | 22    |      1768869 |        30493 |    58.01x
WidePipe | 22    |         6029 |           25 |   241.16x
Concatenation | 24    |      9646991 |        73249 |   131.70x
XorSum | 24    |         6466 |         3096 |     2.09x
HashThenHash | 24    |         3488 |           27 |   129.19x
Interacting | 24    |     10764475 |        70701 |   152.25x
WidePipe | 24    |         6029 |           27 |   223.30x
