
--- START: bits=26 | Direct Limit=134217728 | Joux Levels=12 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio

--- START: bits=14 | Direct Limit=32768 | Joux Levels=8 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |      32768 |       1637 |    20.02x
StandardSha256 | XorSum |        233 |        272 |     0.86x
StandardSha256 | HashThenHash |        204 |       1234 |     0.17x
StandardSha256 | Interacting |      32768 |       1384 |    23.68x
StandardSha256 | WidePipe |        280 |       1384 |     0.20x
StandardSha256 | RobustInteraction |      12733 |       1637 |     7.78x
CustomFeistel | Concatenation |       6440 |       1533 |     4.20x
CustomFeistel | XorSum |         47 |        272 |     0.17x
CustomFeistel | HashThenHash |        180 |       1147 |     0.16x
CustomFeistel | Interacting |       7329 |       1280 |     5.73x
CustomFeistel | WidePipe |        178 |       1280 |     0.14x
CustomFeistel | RobustInteraction |       4586 |       1533 |     2.99x
Sha256PlusFeistel | Concatenation |      22061 |       1637 |    13.48x
Sha256PlusFeistel | XorSum |        100 |        272 |     0.37x
Sha256PlusFeistel | HashThenHash |        169 |       1797 |     0.09x
Sha256PlusFeistel | Interacting |      11022 |       1384 |     7.96x
Sha256PlusFeistel | WidePipe |        280 |       1384 |     0.20x
Sha256PlusFeistel | RobustInteraction |      20951 |       1637 |    12.80x
FeistelPlusSha256 | Concatenation |      11978 |       1533 |     7.81x
FeistelPlusSha256 | XorSum |        101 |        272 |     0.37x
FeistelPlusSha256 | HashThenHash |         75 |       1351 |     0.06x
FeistelPlusSha256 | Interacting |       1474 |       1280 |     1.15x
FeistelPlusSha256 | WidePipe |        178 |       1280 |     0.14x
FeistelPlusSha256 | RobustInteraction |      28326 |       1533 |    18.48x

--- START: bits=14 | Direct Limit=32768 | Joux Levels=8 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |      32768 |       1637 |    20.02x
StandardSha256 | XorSum |        233 |        272 |     0.86x
StandardSha256 | HashThenHash |        204 |       1234 |     0.17x
StandardSha256 | Interacting |      32768 |       1384 |    23.68x
StandardSha256 | WidePipe |        280 |       1384 |     0.20x
StandardSha256 | RobustInteraction |      12733 |       1637 |     7.78x
CustomFeistel | Concatenation |       6440 |       1533 |     4.20x
CustomFeistel | XorSum |         47 |        272 |     0.17x
CustomFeistel | HashThenHash |        180 |       1147 |     0.16x
CustomFeistel | Interacting |       7329 |       1280 |     5.73x
CustomFeistel | WidePipe |        178 |       1280 |     0.14x
CustomFeistel | RobustInteraction |       4586 |       1533 |     2.99x
Sha256PlusFeistel | Concatenation |      22061 |       1637 |    13.48x
Sha256PlusFeistel | XorSum |        100 |        272 |     0.37x
Sha256PlusFeistel | HashThenHash |        169 |       1797 |     0.09x
Sha256PlusFeistel | Interacting |      11022 |       1384 |     7.96x
Sha256PlusFeistel | WidePipe |        280 |       1384 |     0.20x
Sha256PlusFeistel | RobustInteraction |      20951 |       1637 |    12.80x
FeistelPlusSha256 | Concatenation |      11978 |       1533 |     7.81x
FeistelPlusSha256 | XorSum |        101 |        272 |     0.37x
